date,visitors,sessions,conversion_rate,bounce_rate,checkout_failures
2026-06-17,12077,16558,2.82,65.89,19
2026-06-18,13318,14933,2.44,68.1,15
2026-06-19,12992,16704,2.91,68.15,11
2026-06-20,16018,20128,2.69,70.96,16
2026-06-21,17742,20434,2.15,71.83,36
2026-06-22,13120,17188,2.71,63.07,39
2026-06-23,16612,19270,2.85,61.66,22
2026-06-24,15228,19947,2.01,71.58,21
2026-06-25,14674,18476,2.18,65.19,36
2026-06-26,17961,21880,2.61,64.32,24
2026-06-27,14265,17453,2.87,60.27,10
2026-06-28,15531,19582,2.65,60.35,33
2026-06-29,15056,16659,2.93,71.05,28
2026-06-30,15797,19623,2.19,62.48,30
2026-07-01,15030,18902,3.5,39.67,28
2026-07-02,17031,19965,3.6,35.82,18
2026-07-03,12201,16708,4.18,44.06,12
2026-07-04,12574,15865,3.81,48.8,11
2026-07-05,15281,16755,4.11,41.78,20
2026-07-06,12954,14829,4.37,38.72,34
2026-07-07,13990,16193,3.63,48.72,26
2026-07-08,16380,17442,3.42,38.3,27
2026-07-09,17588,21708,3.27,49.42,26
2026-07-10,16243,20944,4.29,43.03,17
2026-07-11,16422,19214,3.46,40.96,28
2026-07-12,12951,14673,3.52,42.02,26
2026-07-13,16524,19024,3.71,43.47,27
2026-07-14,12768,16405,4.07,42.91,31
2026-07-15,17083,19219,3.6,43.39,13
2026-07-16,15335,19307,3.11,46.3,19
2026-07-17,13481,16382,3.79,47.01,32
2026-07-18,13823,16024,4.3,41.12,34
2026-07-19,14806,17664,3.35,45.08,38
2026-07-20,12327,16452,3.51,43.54,28
2026-07-21,15675,19729,4.08,47.08,33
2026-07-22,13311,17502,4.21,49.44,29
2026-07-23,12164,13345,3.31,39.4,25
2026-07-24,16425,18199,4.1,47.72,25
2026-07-25,15452,17366,3.87,41.32,11
2026-07-26,13920,17782,3.94,40.04,11
2026-07-27,16802,18272,3.05,47.46,14
2026-07-28,17029,19308,3.83,41.54,21
2026-07-29,17986,20509,4.46,46.7,26
2026-07-30,14761,18990,3.73,48.42,26
2026-07-31,15953,20139,3.77,46.13,11
2026-08-01,12236,14540,3.39,37.09,20
2026-08-02,14541,17592,3.2,48.51,11
2026-08-03,15798,17602,3.03,48.71,30
2026-08-04,14089,16468,3.75,36.01,14
2026-08-05,17497,19084,3.31,35.16,30
2026-08-06,14074,18970,3.4,45.98,11
2026-08-07,17868,20908,3.74,43.6,26
2026-08-08,14969,18997,3.57,42.78,11
2026-08-09,15067,17912,4.11,36.24,13
2026-08-10,17490,19283,3.1,47.56,20
2026-08-11,13136,14322,3.45,43.5,11
2026-08-12,16150,19820,4.43,37.03,33
2026-08-13,17408,20193,3.05,38.93,12
2026-08-14,15920,19925,4.43,37.32,18
2026-08-15,12153,16674,3.16,36.13,26
2026-08-16,17760,20000,4.06,43.97,34
2026-08-17,17158,22032,4.23,46.99,21
2026-08-18,13458,18007,3.01,36.55,14
2026-08-19,15115,18979,3.21,49.25,32
2026-08-20,17616,22502,3.13,49.37,28
2026-08-21,17895,21603,4.14,45.86,25
2026-08-22,12709,14932,3.37,42.34,24
2026-08-23,15642,20635,3.08,45.05,19
2026-08-24,17135,18845,4.5,43.34,31
2026-08-25,16345,17735,3.05,45.46,18
2026-08-26,14930,18665,3.17,41.33,38
2026-08-27,15294,17283,3.08,41.83,36
2026-08-28,15561,17175,3.06,43.94,12
2026-08-29,14667,17902,3.72,48.27,20
2026-08-30,14983,19016,4.09,35.98,24
2026-08-31,15959,19503,3.81,44.92,22
2026-09-01,14769,19001,4.33,44.24,39
2026-09-02,15521,16831,3.69,49.86,36
2026-09-03,16854,19658,3.79,49.09,12
2026-09-04,12813,13841,4.15,41.03,30
2026-09-05,16843,18539,3.87,39.08,34
2026-09-06,16361,20334,3.63,41.32,14
2026-09-07,14624,19384,3.17,40.32,39
2026-09-08,14033,17404,4.07,43.84,25
2026-09-09,12704,16700,4.48,41.42,26
2026-09-10,12963,17174,4.43,46.97,14
2026-09-11,12938,17389,3.63,48.19,23
2026-09-12,15415,16425,4.36,49.84,16
2026-09-13,16867,19461,3.6,47.57,31
2026-09-14,12884,17198,3.77,38.46,11
2026-09-15,12824,16089,3.06,49.36,33
2026-09-16,15845,20433,3.09,49.54,26
2026-09-17,17640,21810,3.9,42.88,36
2026-09-18,14466,18203,3.74,49.95,12
2026-09-19,16255,21065,3.34,38.36,24
2026-09-20,15160,18536,4.34,47.9,20
2026-09-21,13640,15591,3.4,36.94,18
2026-09-22,13218,15138,4.28,35.53,24
2026-09-23,16135,18695,3.83,36.3,33
2026-09-24,12974,14011,3.39,45.85,35
2026-09-25,12913,14366,4.44,36.64,37
2026-09-26,16036,18008,4.28,42.43,39
2026-09-27,14396,17558,4.24,40.22,11
2026-09-28,15930,18926,3.4,48.18,28
2026-09-29,14383,18622,3.37,37.36,25
2026-09-30,13704,17532,4.26,45.46,19
2026-10-01,16451,17641,4.05,37.84,14
2026-10-02,12556,14381,3.7,48.19,19
2026-10-03,14719,18129,3.34,48.63,27
2026-10-04,14403,18732,4.25,42.61,16
2026-10-05,13985,16232,3.13,39.9,18
2026-10-06,14064,15423,3.39,44.51,33
2026-10-07,16770,18777,3.16,46.42,19
2026-10-08,17352,19599,4.26,40.88,24
2026-10-09,13245,16329,3.15,49.06,13
2026-10-10,13265,17660,3.45,45.62,31
2026-10-11,12885,16637,3.09,36.12,27
2026-10-12,14353,18694,4.46,49.53,13
2026-10-13,12762,15012,3.89,40.75,38
2026-10-14,12906,17010,3.49,42.33,28
2026-10-15,14506,16075,3.0,37.38,11
2026-10-16,15356,16871,3.64,41.77,16
2026-10-17,15342,17228,4.24,39.48,11
2026-10-18,17806,19779,3.35,36.97,12
2026-10-19,14896,19349,3.23,41.49,30
2026-10-20,16964,18047,3.6,39.11,12
2026-10-21,17626,21954,3.48,45.87,11
2026-10-22,13980,18214,3.05,44.78,21
2026-10-23,13809,16103,3.71,43.15,37
2026-10-24,12984,15664,3.14,37.3,36
2026-10-25,17805,22438,4.14,44.39,21
2026-10-26,12692,15251,4.38,44.25,23
2026-10-27,12526,16750,3.0,43.97,39
2026-10-28,17355,20230,3.65,38.01,34
2026-10-29,17109,20657,3.4,46.96,20
2026-10-30,17183,21971,3.22,41.97,39
2026-10-31,17439,18776,3.72,44.0,20
2026-11-01,17420,19148,4.29,46.7,17
2026-11-02,12778,13991,4.12,37.19,21
2026-11-03,14936,19053,3.21,42.48,31
2026-11-04,14720,16433,4.16,49.12,10
2026-11-05,12001,15273,3.13,40.26,10
2026-11-06,12917,17091,3.2,43.51,23
2026-11-07,14169,15311,3.3,37.51,26
2026-11-08,13895,16889,3.19,48.44,18
2026-11-09,15144,19574,3.92,39.48,21
2026-11-10,17383,22294,4.07,47.03,39
2026-11-11,16206,17456,3.73,44.91,25
2026-11-12,12899,17360,4.23,41.78,12
2026-11-13,16904,21675,4.1,36.22,31
2026-11-14,14134,18729,3.24,48.08,35
2026-11-15,15638,17387,3.51,37.73,32
2026-11-16,14356,16050,3.07,37.43,15
2026-11-17,12661,14209,4.49,49.62,12
2026-11-18,14971,17708,3.6,38.31,31
2026-11-19,17326,18678,4.26,37.61,30
2026-11-20,12158,15135,4.11,41.38,13
2026-11-21,14779,17166,4.15,42.57,27
2026-11-22,13712,17706,3.87,41.58,30
2026-11-23,17631,22442,4.31,48.51,15
2026-11-24,16390,18144,3.89,48.69,21
2026-11-25,15714,20022,3.7,47.54,10
2026-11-26,14914,16707,4.07,48.64,32
2026-11-27,15369,17308,3.56,42.69,14
2026-11-28,16005,20057,3.66,36.46,38
2026-11-29,13646,14659,3.77,40.39,11
2026-11-30,15814,17651,3.98,39.68,37
2026-12-01,14113,18347,3.99,39.88,17
2026-12-02,16555,21302,4.45,41.81,20
2026-12-03,15081,19859,3.66,39.96,38
2026-12-04,17897,21788,4.24,41.46,29
2026-12-05,17895,20601,4.42,38.79,31
2026-12-06,13307,17499,3.91,40.35,21
2026-12-07,14212,17564,4.27,47.09,37
2026-12-08,13390,16132,3.84,43.1,29
2026-12-09,15953,19334,3.09,42.97,29
2026-12-10,12281,16125,3.96,38.37,14
2026-12-11,15828,17910,3.47,42.61,23
2026-12-12,13035,14524,3.6,42.2,36
2026-12-13,12125,13341,3.96,48.02,33
2026-12-14,15249,17167,4.0,37.09,39
2026-12-15,16403,18762,4.41,45.99,17
2026-12-16,14033,16397,3.14,45.09,15
2026-12-17,16612,19130,3.27,45.39,32
2026-12-18,17238,21527,3.56,35.26,27
2026-12-19,15719,17021,3.86,35.46,17
2026-12-20,16440,18253,4.38,44.01,25
2026-12-21,17773,21897,4.0,43.66,39
2026-12-22,15291,17300,3.91,39.77,10
2026-12-23,17208,18895,4.13,36.36,18
2026-12-24,13347,18028,3.61,39.91,15
2026-12-25,16114,20639,4.35,48.17,32
2026-12-26,12850,15238,4.23,36.8,31
2026-12-27,12454,15078,3.49,44.45,35
2026-12-28,16806,19996,4.04,40.83,34
2026-12-29,13440,14744,3.82,41.67,15
2026-12-30,15338,19252,3.25,44.64,11
2026-12-31,14989,19837,3.57,47.95,25
