ticket_id,customer_id,date,issue_type,priority,description,source_event
T101,C13285,2026-01-10,Order Tracking,Low,Order status not updated,Normal Operations
T102,C9436,2026-01-10,Account Question,Low,Unable to update account information,Normal Operations
T103,C95982,2026-01-10,Refund Request,High,Refund not processed,Normal Operations
T104,C35248,2026-01-10,Account Question,High,Unable to update account information,Normal Operations
T105,C56574,2026-01-10,Return Request,Medium,Customer wants to return product,Normal Operations
T106,C79606,2026-01-10,Order Tracking,Medium,Unable to track order,Normal Operations
T107,C65418,2026-01-10,Order Tracking,Medium,Order status not updated,Normal Operations
T108,C16365,2026-01-11,Refund Request,Low,Customer requested refund,Normal Operations
T109,C49116,2026-01-11,Order Tracking,Medium,Need tracking information,Normal Operations
T110,C11939,2026-01-11,Product Inquiry,Medium,Need more product information,Normal Operations
T111,C93611,2026-01-11,Refund Request,High,Customer requested refund,Normal Operations
T112,C38305,2026-01-11,Product Inquiry,Medium,Question about product specifications,Normal Operations
T113,C86028,2026-01-11,Product Inquiry,Low,Question about product specifications,Normal Operations
T114,C92659,2026-01-11,Order Tracking,Medium,Need tracking information,Normal Operations
T115,C25352,2026-01-11,Refund Request,Low,Refund not processed,Normal Operations
T116,C76798,2026-01-11,Order Tracking,High,Unable to track order,Normal Operations
T117,C89589,2026-01-12,Return Request,Low,Return process inquiry,Normal Operations
T118,C7544,2026-01-12,Product Inquiry,Medium,Question about product specifications,Normal Operations
T119,C92921,2026-01-12,Account Question,Medium,Question regarding account settings,Normal Operations
T120,C35736,2026-01-12,Account Question,High,Question regarding account settings,Normal Operations
T121,C86000,2026-01-12,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T122,C34912,2026-01-12,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T123,C20151,2026-01-12,Account Question,Medium,Question regarding account settings,Normal Operations
T124,C21353,2026-01-12,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T125,C50518,2026-01-13,Return Request,Low,Customer wants to return product,Normal Operations
T126,C79460,2026-01-13,Product Inquiry,Low,Question about product specifications,Normal Operations
T127,C36940,2026-01-13,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T128,C51935,2026-01-13,Return Request,High,Return process inquiry,Normal Operations
T129,C5487,2026-01-13,Product Inquiry,Low,Need more product information,Normal Operations
T130,C89113,2026-01-13,Account Question,Medium,Account related inquiry,Normal Operations
T131,C60567,2026-01-13,Account Question,Medium,Question regarding account settings,Normal Operations
T132,C21546,2026-01-13,Account Question,High,Question regarding account settings,Normal Operations
T133,C23715,2026-01-14,Order Tracking,High,Need tracking information,Normal Operations
T134,C6802,2026-01-14,Product Inquiry,High,Inquiry regarding product availability,Normal Operations
T135,C82874,2026-01-14,Refund Request,Medium,Refund not processed,Normal Operations
T136,C1543,2026-01-14,Account Question,Medium,Unable to update account information,Normal Operations
T137,C93106,2026-01-14,Order Tracking,High,Need tracking information,Normal Operations
T138,C88093,2026-01-14,Order Tracking,Low,Need tracking information,Normal Operations
T139,C26433,2026-01-14,Product Inquiry,High,Question about product specifications,Normal Operations
T140,C40263,2026-01-14,Refund Request,High,Requesting refund for recent purchase,Normal Operations
T141,C89340,2026-01-14,Return Request,Low,Return process inquiry,Normal Operations
T142,C26791,2026-01-14,Account Question,Medium,Unable to update account information,Normal Operations
T143,C94247,2026-01-14,Order Tracking,Medium,Order status not updated,Normal Operations
T144,C86770,2026-01-14,Account Question,Medium,Question regarding account settings,Normal Operations
T145,C25471,2026-01-14,Order Tracking,Medium,Need tracking information,Normal Operations
T146,C80220,2026-01-15,Product Inquiry,High,Question about product specifications,Normal Operations
T147,C23961,2026-01-15,Return Request,High,Customer wants to return product,Normal Operations
T148,C67642,2026-01-15,Account Question,Low,Unable to update account information,Normal Operations
T149,C20560,2026-01-15,Account Question,Medium,Question regarding account settings,Normal Operations
T150,C91363,2026-01-15,Product Inquiry,Medium,Question about product specifications,Normal Operations
T151,C71727,2026-01-15,Refund Request,Medium,Refund not processed,Normal Operations
T152,C68867,2026-01-15,Refund Request,High,Customer requested refund,Normal Operations
T153,C78860,2026-01-15,Refund Request,High,Requesting refund for recent purchase,Normal Operations
T154,C29704,2026-01-16,Return Request,Low,Customer wants to return product,Normal Operations
T155,C84666,2026-01-16,Return Request,Low,Return process inquiry,Normal Operations
T156,C4836,2026-01-16,Return Request,High,Customer wants to return product,Normal Operations
T157,C78753,2026-01-16,Refund Request,Medium,Customer requested refund,Normal Operations
T158,C27533,2026-01-16,Account Question,High,Question regarding account settings,Normal Operations
T159,C5714,2026-01-16,Account Question,Medium,Unable to update account information,Normal Operations
T160,C75673,2026-01-16,Account Question,Medium,Account related inquiry,Normal Operations
T161,C95085,2026-01-16,Order Tracking,Low,Order status not updated,Normal Operations
T162,C27713,2026-01-16,Refund Request,Medium,Refund not processed,Normal Operations
T163,C62293,2026-01-16,Refund Request,Medium,Requesting refund for recent purchase,Normal Operations
T164,C6971,2026-01-16,Refund Request,High,Refund not processed,Normal Operations
T165,C18018,2026-01-16,Account Question,Low,Question regarding account settings,Normal Operations
T166,C40944,2026-01-16,Refund Request,Low,Customer requested refund,Normal Operations
T167,C98143,2026-01-17,Refund Request,Medium,Customer requested refund,Normal Operations
T168,C23575,2026-01-17,Product Inquiry,Medium,Question about product specifications,Normal Operations
T169,C32202,2026-01-17,Account Question,Low,Unable to update account information,Normal Operations
T170,C38766,2026-01-17,Account Question,Low,Unable to update account information,Normal Operations
T171,C57092,2026-01-17,Account Question,Low,Question regarding account settings,Normal Operations
T172,C36188,2026-01-17,Refund Request,Low,Refund not processed,Normal Operations
T173,C58018,2026-01-17,Order Tracking,Medium,Unable to track order,Normal Operations
T174,C32050,2026-01-17,Product Inquiry,High,Inquiry regarding product availability,Normal Operations
T175,C24286,2026-01-17,Return Request,Medium,Customer wants to return product,Normal Operations
T176,C19759,2026-01-17,Refund Request,Medium,Requesting refund for recent purchase,Normal Operations
T177,C77710,2026-01-17,Account Question,Medium,Question regarding account settings,Normal Operations
T178,C6950,2026-01-18,Return Request,Medium,Return process inquiry,Normal Operations
T179,C25935,2026-01-18,Order Tracking,Medium,Unable to track order,Normal Operations
T180,C53414,2026-01-18,Order Tracking,Medium,Need tracking information,Normal Operations
T181,C70391,2026-01-18,Return Request,Medium,Return process inquiry,Normal Operations
T182,C39812,2026-01-18,Refund Request,Medium,Customer requested refund,Normal Operations
T183,C19964,2026-01-18,Refund Request,Low,Refund not processed,Normal Operations
T184,C73478,2026-01-18,Account Question,Medium,Unable to update account information,Normal Operations
T185,C36587,2026-01-18,Account Question,Medium,Unable to update account information,Normal Operations
T186,C6255,2026-01-18,Product Inquiry,Low,Inquiry regarding product availability,Normal Operations
T187,C22416,2026-01-18,Product Inquiry,Medium,Need more product information,Normal Operations
T188,C83808,2026-01-19,Refund Request,Medium,Requesting refund for recent purchase,Normal Operations
T189,C28733,2026-01-19,Account Question,Low,Unable to update account information,Normal Operations
T190,C87045,2026-01-19,Product Inquiry,Low,Question about product specifications,Normal Operations
T191,C23062,2026-01-19,Order Tracking,Low,Need tracking information,Normal Operations
T192,C16908,2026-01-19,Refund Request,Low,Customer requested refund,Normal Operations
T193,C91866,2026-01-19,Order Tracking,Medium,Need tracking information,Normal Operations
T194,C10489,2026-01-19,Refund Request,Medium,Refund not processed,Normal Operations
T195,C52797,2026-01-19,Product Inquiry,Low,Inquiry regarding product availability,Normal Operations
T196,C59400,2026-01-19,Return Request,Medium,Customer wants to return product,Normal Operations
T197,C303,2026-01-19,Account Question,Low,Account related inquiry,Normal Operations
T198,C67662,2026-01-19,Order Tracking,Medium,Order status not updated,Normal Operations
T199,C15035,2026-01-20,Order Tracking,Low,Unable to track order,Normal Operations
T200,C82839,2026-01-20,Product Inquiry,Medium,Inquiry regarding product availability,Normal Operations
T201,C88870,2026-01-20,Return Request,Medium,Customer wants to return product,Normal Operations
T202,C10268,2026-01-20,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T203,C95463,2026-01-20,Refund Request,Low,Customer requested refund,Normal Operations
T204,C3597,2026-01-20,Return Request,Medium,Customer wants to return product,Normal Operations
T205,C73795,2026-01-20,Return Request,Medium,Return process inquiry,Normal Operations
T206,C6372,2026-01-20,Order Tracking,Medium,Order status not updated,Normal Operations
T207,C73480,2026-01-20,Order Tracking,Medium,Order status not updated,Normal Operations
T208,C81450,2026-01-20,Return Request,Low,Need assistance with return,Normal Operations
T209,C48448,2026-01-20,Return Request,Medium,Return process inquiry,Normal Operations
T210,C3813,2026-01-20,Product Inquiry,High,Question about product specifications,Normal Operations
T211,C1606,2026-01-21,Account Question,Low,Unable to update account information,Normal Operations
T212,C56139,2026-01-21,Return Request,Low,Return process inquiry,Normal Operations
T213,C24819,2026-01-21,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T214,C16390,2026-01-21,Account Question,Low,Account related inquiry,Normal Operations
T215,C87887,2026-01-21,Return Request,High,Need assistance with return,Normal Operations
T216,C84472,2026-01-21,Refund Request,Medium,Refund not processed,Normal Operations
T217,C847,2026-01-21,Refund Request,Medium,Refund not processed,Normal Operations
T218,C88237,2026-01-21,Order Tracking,Medium,Order status not updated,Normal Operations
T219,C64324,2026-01-21,Order Tracking,Medium,Unable to track order,Normal Operations
T220,C67585,2026-01-21,Refund Request,Medium,Customer requested refund,Normal Operations
T221,C20619,2026-01-21,Account Question,High,Unable to update account information,Normal Operations
T222,C47363,2026-01-21,Account Question,Low,Account related inquiry,Normal Operations
T223,C87959,2026-01-22,Order Tracking,Medium,Need tracking information,Normal Operations
T224,C5288,2026-01-22,Order Tracking,High,Need tracking information,Normal Operations
T225,C63077,2026-01-22,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T226,C93071,2026-01-22,Refund Request,Medium,Requesting refund for recent purchase,Normal Operations
T227,C42079,2026-01-22,Product Inquiry,High,Need more product information,Normal Operations
T228,C67445,2026-01-22,Return Request,Medium,Return process inquiry,Normal Operations
T229,C84556,2026-01-22,Refund Request,Low,Refund not processed,Normal Operations
T230,C5952,2026-01-22,Refund Request,Medium,Refund not processed,Normal Operations
T231,C58597,2026-01-22,Product Inquiry,Low,Question about product specifications,Normal Operations
T232,C15525,2026-01-23,Product Inquiry,High,Question about product specifications,Normal Operations
T233,C20612,2026-01-23,Product Inquiry,Low,Need more product information,Normal Operations
T234,C43304,2026-01-23,Order Tracking,Medium,Need tracking information,Normal Operations
T235,C72102,2026-01-23,Product Inquiry,Medium,Question about product specifications,Normal Operations
T236,C67729,2026-01-23,Refund Request,High,Customer requested refund,Normal Operations
T237,C36456,2026-01-23,Order Tracking,Low,Unable to track order,Normal Operations
T238,C54918,2026-01-23,Product Inquiry,Low,Need more product information,Normal Operations
T239,C87488,2026-01-23,Product Inquiry,Low,Need more product information,Normal Operations
T240,C59380,2026-01-23,Account Question,Medium,Question regarding account settings,Normal Operations
T241,C10790,2026-01-23,Product Inquiry,Medium,Question about product specifications,Normal Operations
T242,C32155,2026-01-23,Account Question,Medium,Question regarding account settings,Normal Operations
T243,C59202,2026-01-23,Return Request,Medium,Return process inquiry,Normal Operations
T244,C43873,2026-01-23,Product Inquiry,Low,Need more product information,Normal Operations
T245,C71896,2026-01-24,Return Request,Medium,Customer wants to return product,Normal Operations
T246,C14383,2026-01-24,Account Question,Medium,Question regarding account settings,Normal Operations
T247,C16479,2026-01-24,Account Question,Medium,Unable to update account information,Normal Operations
T248,C71316,2026-01-24,Return Request,Low,Return process inquiry,Normal Operations
T249,C13000,2026-01-24,Order Tracking,Medium,Unable to track order,Normal Operations
T250,C90475,2026-01-24,Order Tracking,Low,Unable to track order,Normal Operations
T251,C17369,2026-01-24,Account Question,Low,Unable to update account information,Normal Operations
T252,C85452,2026-01-24,Return Request,Low,Need assistance with return,Normal Operations
T253,C60280,2026-01-24,Return Request,Low,Customer wants to return product,Normal Operations
T254,C65311,2026-01-24,Order Tracking,Medium,Need tracking information,Normal Operations
T255,C44328,2026-01-24,Product Inquiry,High,Question about product specifications,Normal Operations
T256,C34561,2026-01-24,Product Inquiry,Low,Inquiry regarding product availability,Normal Operations
T257,C47524,2026-01-25,Order Tracking,Low,Unable to track order,Normal Operations
T258,C53174,2026-01-25,Refund Request,Medium,Customer requested refund,Normal Operations
T259,C56265,2026-01-25,Account Question,Medium,Account related inquiry,Normal Operations
T260,C97946,2026-01-25,Order Tracking,Low,Need tracking information,Normal Operations
T261,C99930,2026-01-25,Return Request,High,Customer wants to return product,Normal Operations
T262,C8667,2026-01-25,Order Tracking,Medium,Order status not updated,Normal Operations
T263,C41915,2026-01-25,Refund Request,Medium,Requesting refund for recent purchase,Normal Operations
T264,C67527,2026-01-25,Product Inquiry,Low,Need more product information,Normal Operations
T265,C37149,2026-01-25,Account Question,Medium,Question regarding account settings,Normal Operations
T266,C27697,2026-01-25,Order Tracking,Low,Unable to track order,Normal Operations
T267,C49841,2026-01-25,Return Request,Medium,Customer wants to return product,Normal Operations
T268,C75453,2026-01-25,Return Request,Low,Need assistance with return,Normal Operations
T269,C41950,2026-01-26,Refund Request,Medium,Customer requested refund,Normal Operations
T270,C93502,2026-01-26,Product Inquiry,Low,Inquiry regarding product availability,Normal Operations
T271,C86445,2026-01-26,Account Question,Low,Question regarding account settings,Normal Operations
T272,C33537,2026-01-26,Product Inquiry,Medium,Need more product information,Normal Operations
T273,C6646,2026-01-26,Order Tracking,Medium,Unable to track order,Normal Operations
T274,C38566,2026-01-26,Order Tracking,Medium,Unable to track order,Normal Operations
T275,C52488,2026-01-26,Return Request,High,Customer wants to return product,Normal Operations
T276,C99786,2026-01-26,Product Inquiry,High,Need more product information,Normal Operations
T277,C81975,2026-01-26,Order Tracking,Low,Need tracking information,Normal Operations
T278,C81245,2026-01-26,Order Tracking,Medium,Order status not updated,Normal Operations
T279,C55107,2026-01-26,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T280,C74056,2026-01-26,Product Inquiry,Low,Inquiry regarding product availability,Normal Operations
T281,C39987,2026-01-26,Account Question,Medium,Account related inquiry,Normal Operations
T282,C34912,2026-01-26,Order Tracking,High,Order status not updated,Normal Operations
T283,C86926,2026-01-27,Product Inquiry,Low,Question about product specifications,Normal Operations
T284,C4426,2026-01-27,Order Tracking,Low,Order status not updated,Normal Operations
T285,C20080,2026-01-27,Account Question,Low,Account related inquiry,Normal Operations
T286,C31420,2026-01-27,Return Request,Medium,Customer wants to return product,Normal Operations
T287,C23237,2026-01-27,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T288,C99714,2026-01-27,Order Tracking,Low,Order status not updated,Normal Operations
T289,C33573,2026-01-27,Return Request,Medium,Customer wants to return product,Normal Operations
T290,C62517,2026-01-27,Refund Request,Low,Refund not processed,Normal Operations
T291,C17772,2026-01-27,Return Request,Low,Return process inquiry,Normal Operations
T292,C19064,2026-01-27,Order Tracking,High,Unable to track order,Normal Operations
T293,C35955,2026-01-27,Refund Request,Medium,Refund not processed,Normal Operations
T294,C99609,2026-01-27,Refund Request,Low,Refund not processed,Normal Operations
T295,C55962,2026-01-27,Product Inquiry,Medium,Need more product information,Normal Operations
T296,C74533,2026-01-28,Order Tracking,Low,Order status not updated,Normal Operations
T297,C92202,2026-01-28,Order Tracking,Medium,Need tracking information,Normal Operations
T298,C22181,2026-01-28,Order Tracking,Medium,Need tracking information,Normal Operations
T299,C48757,2026-01-28,Order Tracking,Low,Order status not updated,Normal Operations
T300,C81183,2026-01-28,Account Question,High,Account related inquiry,Normal Operations
T301,C47925,2026-01-28,Order Tracking,Low,Need tracking information,Normal Operations
T302,C35738,2026-01-28,Account Question,Medium,Question regarding account settings,Normal Operations
T303,C86146,2026-01-28,Order Tracking,Low,Unable to track order,Normal Operations
T304,C19251,2026-01-28,Product Inquiry,Low,Question about product specifications,Normal Operations
T305,C53277,2026-01-28,Product Inquiry,Low,Need more product information,Normal Operations
T306,C24763,2026-01-28,Product Inquiry,Low,Question about product specifications,Normal Operations
T307,C28770,2026-01-28,Product Inquiry,Low,Need more product information,Normal Operations
T308,C59130,2026-01-29,Account Question,Low,Question regarding account settings,Normal Operations
T309,C67299,2026-01-29,Return Request,High,Need assistance with return,Normal Operations
T310,C24059,2026-01-29,Refund Request,Medium,Refund not processed,Normal Operations
T311,C32922,2026-01-29,Order Tracking,Medium,Need tracking information,Normal Operations
T312,C35112,2026-01-29,Refund Request,Medium,Customer requested refund,Normal Operations
T313,C74667,2026-01-29,Refund Request,Medium,Customer requested refund,Normal Operations
T314,C24355,2026-01-29,Refund Request,High,Requesting refund for recent purchase,Normal Operations
T315,C85470,2026-01-29,Account Question,Low,Account related inquiry,Normal Operations
T316,C91749,2026-01-29,Return Request,Low,Need assistance with return,Normal Operations
T317,C35773,2026-01-29,Product Inquiry,Medium,Question about product specifications,Normal Operations
T318,C57135,2026-01-29,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T319,C51861,2026-01-29,Product Inquiry,Medium,Inquiry regarding product availability,Normal Operations
T320,C58054,2026-01-29,Account Question,High,Unable to update account information,Normal Operations
T321,C90601,2026-01-30,Refund Request,High,Requesting refund for recent purchase,Normal Operations
T322,C12183,2026-01-30,Order Tracking,Medium,Order status not updated,Normal Operations
T323,C44814,2026-01-30,Order Tracking,Low,Order status not updated,Normal Operations
T324,C80560,2026-01-30,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T325,C99805,2026-01-30,Product Inquiry,Medium,Inquiry regarding product availability,Normal Operations
T326,C19427,2026-01-30,Return Request,Low,Need assistance with return,Normal Operations
T327,C87313,2026-01-30,Order Tracking,Medium,Order status not updated,Normal Operations
T328,C78946,2026-01-30,Product Inquiry,High,Question about product specifications,Normal Operations
T329,C20663,2026-01-30,Product Inquiry,Medium,Need more product information,Normal Operations
T330,C15318,2026-01-31,Refund Request,Low,Customer requested refund,Normal Operations
T331,C94224,2026-01-31,Order Tracking,Medium,Need tracking information,Normal Operations
T332,C74039,2026-01-31,Return Request,Medium,Return process inquiry,Normal Operations
T333,C29431,2026-01-31,Order Tracking,Low,Unable to track order,Normal Operations
T334,C96123,2026-01-31,Order Tracking,High,Order status not updated,Normal Operations
T335,C29630,2026-01-31,Return Request,Low,Customer wants to return product,Normal Operations
T336,C33040,2026-01-31,Account Question,High,Question regarding account settings,Normal Operations
T337,C50073,2026-01-31,Refund Request,Low,Refund not processed,Normal Operations
T338,C10817,2026-01-31,Return Request,Low,Customer wants to return product,Normal Operations
T339,C33934,2026-01-31,Product Inquiry,Low,Question about product specifications,Normal Operations
T340,C40601,2026-01-31,Order Tracking,Low,Unable to track order,Normal Operations
T341,C35401,2026-01-31,Account Question,Low,Unable to update account information,Normal Operations
T342,C43002,2026-01-31,Refund Request,Medium,Requesting refund for recent purchase,Normal Operations
T343,C97660,2026-01-31,Account Question,Medium,Account related inquiry,Normal Operations
T344,C34637,2026-02-01,Product Inquiry,High,Need more product information,Normal Operations
T345,C56980,2026-02-01,Return Request,High,Need assistance with return,Normal Operations
T346,C34158,2026-02-01,Account Question,Low,Account related inquiry,Normal Operations
T347,C82857,2026-02-01,Order Tracking,Low,Need tracking information,Normal Operations
T348,C81413,2026-02-01,Product Inquiry,Low,Need more product information,Normal Operations
T349,C76899,2026-02-01,Refund Request,Medium,Customer requested refund,Normal Operations
T350,C42875,2026-02-01,Refund Request,Low,Customer requested refund,Normal Operations
T351,C26686,2026-02-01,Order Tracking,High,Unable to track order,Normal Operations
T352,C61414,2026-02-01,Product Inquiry,Medium,Inquiry regarding product availability,Normal Operations
T353,C60505,2026-02-01,Account Question,Medium,Account related inquiry,Normal Operations
T354,C17675,2026-02-01,Account Question,High,Unable to update account information,Normal Operations
T355,C97821,2026-02-01,Product Inquiry,High,Inquiry regarding product availability,Normal Operations
T356,C25932,2026-02-01,Refund Request,Low,Refund not processed,Normal Operations
T357,C58763,2026-02-01,Refund Request,Low,Customer requested refund,Normal Operations
T358,C70832,2026-02-02,Product Inquiry,Medium,Question about product specifications,Normal Operations
T359,C41756,2026-02-02,Account Question,Low,Question regarding account settings,Normal Operations
